name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Alendronato,Bifosfonato,Osteoporosis: 10 mg/día o 70 mg/semana; Paget: 40 mg/día x 6 meses,1 vez/día o una vez a la semana,70 mg/semana (osteoporosis),Oral,"Osteoporosis (postmenopáusica, inducida por corticoides), Enfermedad de Paget ósea","Irritación esofágica/gástrica, dolor musculoesquelético, osteonecrosis mandibular (raro), fracturas femorales atípicas (raro), hipocalcemia","Anormalidades esofágicas (estenosis, acalasia), hipocalcemia, imposibilidad de permanecer erguido ≥30 min, I.R. grave (ClCr <35 ml/min)"
Alfacalcidol,Análogo Vitamina D,"Inicial: Adultos 1 mcg, Niños 0.05 mcg/kg; Ajustar según Ca/P/PTH",Una vez al día,4 mcg/día,"Oral, IV",Osteodistrofia renal; Hipoparatiroidismo; Raquitismo/Osteomalacia VitD-resistente/dependiente,"Hipercalcemia, hiperfosfatemia, prurito, debilidad, cefalea, náuseas, vómitos","Hipersensibilidad, hipercalcemia, evidencia toxicidad Vitamina D"
Alfentanilo Clorhidrato,Opioide,Inducción: 130-245 mcg/kg; Mantenimiento: Bolo 15 mcg/kg o Infusión 0.5-1 mcg/kg/min,Bolos o infusión IV según necesidad durante anestesia,Dosis individualizada,IV,Analgesia/Anestesia corta duración,"Depresión respiratoria, rigidez muscular, bradicardia, hipotensión, náuseas, vómitos","Hipersensibilidad a opioides, depresión respiratoria aguda, obstrucción vías aéreas"
Alfuzosina,Bloqueador Alfa-1 Adrenérgico,Lib. prolongada (LP): 10 mg; Lib. inmediata (LI): 2.5 mg,LP: 1 vez/día (post-comida); LI: Cada 8 horas,10 mg/día,Oral,Síntomas funcionales de Hiperplasia Prostática Benigna (HPB),"Mareo, cefalea, astenia, hipotensión ortostática, síncope (al inicio), trastornos gastrointestinales, priapismo (raro)","Hipersensibilidad, hipotensión ortostática, insuficiencia hepática grave, uso concomitante con otros alfa-1 bloqueantes o inhibidores potentes CYP3A4"
Alglucosidasa Alfa,Reemplazo enzimático,20 mg/kg,Infusión IV cada 2 semanas,20 mg/kg,IV,Enfermedad Pompe inicio infantil/tardío,"Reacciones hipersensibilidad/infusión severas, taquicardia, fiebre, urticaria, hipoxia, disnea",Hipersensibilidad grave potencialmente mortal
Alirocumab,Inhibidor PCSK9,75-150 mg,SC cada 2 o 4 semanas,150 mg/dosis,Subcutáneo,Hipercolesterolemia primaria; Dislipidemia mixta; ECV aterosclerótica establecida,"Reacción sitio, nasofaringitis, síntomas gripales, mialgia",Hipersensibilidad
Aliskireno,Inhibidor de la renina,150 mg,Una vez al día,300 mg/día,Oral,Hipertensión arterial esencial,"Mareo, diarrea, hiperkalemia, angioedema","Hipersensibilidad, embarazo, uso concomitante ARA-II/IECA en diabéticos/I.R."
Alizaprida,Antiemético Antidopaminérgico,Oral: 50-150 mg/día; IM/IV: 50 mg 2 veces/día/TID,2-3 veces al día,150 mg/día,Oral IM IV,Náuseas y vómitos,"Somnolencia, vértigo, cefalea, hipotensión ortostática, síntomas extrapiramidales","Hipersensibilidad, feocromocitoma, hemorragia/obstrucción/perforación GI, antecedentes discinesia tardía neurolépticos"
Almotriptán,Triptán,6.25-12.5 mg,"Dosis única al inicio, repetir x1 tras ≥2h si recurrencia",25 mg/día,Oral,Tratamiento agudo de migraña,"Fatiga, boca seca, parestesias, sensación opresión","Hipersensibilidad a almotriptán/sulfonamidas, cardiopatía isquémica, ACV/AIT previo, enf. vascular periférica, HTA no controlada, uso ergotamínicos/otros triptanes en 24h"
Almotriptán Malato,Triptán,6.25-12.5 mg,"Dosis única al inicio, repetir x1 tras ≥2h si recurrencia",25 mg/día,Oral,Tratamiento agudo de migraña,"Náuseas, somnolencia, mareo, fatiga, boca seca, parestesias, sensación opresión","Hipersensibilidad a almotriptán/sulfonamidas, cardiopatía isquémica, ACV/AIT previo, enf. vascular periférica, HTA no controlada, uso ergotamínicos/otros triptanes en 24h"
Alogliptina,Inhibidor DPP-4,25 mg,Una vez al día,25 mg/día,Oral,Diabetes tipo 2,"Cefalea, infección respiratoria alta, nasofaringitis, pancreatitis",Hipersensibilidad
Alosetron,Antagonista 5-HT3,Inicial: 0.5 mg 2 veces/día; Puede ↑ a 1 mg 2 veces/día,Dos veces al día,2 mg/día,Oral,Síndrome Intestino Irritable con diarrea severa mujeres,"Estreñimiento severo, colitis isquémica, náuseas, dolor abdominal","Hipersensibilidad, estreñimiento crónico/severo, antecedentes obstrucción/isquemia intestinal, EII, I.H. grave"
Alpelisib,Inhibidor PI3K alfa,300 mg,Una vez al día con comida,300 mg/día,Oral,"Cáncer mama avanzado/metastásico HR+/HER2-, PIK3CA mutado","Hiperglucemia, diarrea, rash, náuseas, fatiga, disminución apetito, estomatitis, vómitos, pérdida peso, neumonitis, reacciones cutáneas graves",Hipersensibilidad
Alprazolam ER,Benzodiacepina,Inicial: 0.5-1 mg; Mantenimiento: 3-6 mg,Una vez al día,10 mg/día,Oral,Trastorno de pánico,"Somnolencia, sedación, mareo, ataxia, deterioro memoria, dependencia, síndrome retirada","Hipersensibilidad a benzodiazepinas, miastenia gravis, insuficiencia respiratoria severa, síndrome apnea sueño, I.H. severa, glaucoma ángulo estrecho"
Alprostadil,Prostaglandina,Intracavernoso: 2.5-20 mcg; Intrauretral: 125-1000 mcg,Según necesidad antes actividad sexual,Intracavernoso: 60 mcg/dosis; Intrauretral: 2 dosis/24h,"Intracavernoso, Intrauretral, Tópico",Disfunción eréctil; Diagnóstico DE; Mantener ductus arterioso permeable,"Intracavernoso/uretral: Dolor peneano, erección prolongada, priapismo, fibrosis; Tópico: Eritema peneano/uretral","Hipersensibilidad, condiciones predisponentes priapismo, implantes peneanos, contraindicación actividad sexual"
Alprostadil,Prostaglandina,Inicial: 125-250 mcg; Titular hasta 1000 mcg,Según necesidad antes actividad sexual,1000 mcg/día,Intrauretral,Disfunción eréctil,"Dolor/ardor peneano/uretral, sangrado uretral leve, mareo, síncope","Hipersensibilidad, condiciones predisponentes priapismo, estenosis/inflamación uretral, uso con implante peneano"
Altretamina,Agente Alquilante,260 mg/m²,Diario dividido 4 veces día por 14-21 días,260 mg/m²/día,Oral,Cáncer ovario persistente/recurrente post-platino,"Náuseas, vómitos, neuropatía periférica, mielosupresión, mareo, ataxia, cambios ánimo","Hipersensibilidad, mielosupresión severa preexistente, neurotoxicidad severa preexistente"
Amantadina,Antiviral - Antiparkinsoniano,"Parkinson: Inicial 100 mg/día, Mant: 100 mg; Influenza A: 100 mg",Parkinson: 1-2 veces/día; Influenza A: 1-2 veces/día (Profilaxis/Tto.),400 mg/día,Oral,"Enfermedad de Parkinson, profilaxis y tratamiento Influenza A","Mareo, insomnio, ansiedad, confusión, alucinaciones, boca seca, edema, livedo reticularis","Hipersensibilidad, insuficiencia cardíaca grave, antecedentes de convulsiones, úlcera gástrica activa, I.R. grave, glaucoma ángulo cerrado"
Amantadina ER,Antiviral - Antiparkinsoniano,Inicial: 137 mg HS; Puede ↑ a 274 mg HS,Una vez al día al acostarse,274 mg/día,Oral,Discinesia Enf Parkinson tto levodopa; Parkinsonismo inducido fármacos; Influenza A profilaxis/tto,"Mareo, insomnio, ansiedad, náuseas, edema periférico, boca seca, hipotensión ortostática, livedo reticularis, alucinaciones","Hipersensibilidad, glaucoma ángulo estrecho no tratado, I.R. grave"
Ambenonio Cloruro,Inhibidor Colinesteasa,Inicial: 5 mg TID/4 veces día; Ajustar gradualmente,3-4 veces al día,75 mg/día,Oral,Miastenia Gravis,"Crisis colinérgica, salivación, lagrimeo, miosis, calambres abdominales, diarrea, broncoespasmo, bradicardia","Hipersensibilidad, obstrucción mecánica GI/urinaria"
Ambrisentan,Antagonista Receptor Endotelina,5-10 mg,Una vez al día,10 mg/día,Oral,Hipertensión arterial pulmonar,"Edema periférico, cefalea, congestión nasal, flushing, palpitaciones, anemia, elevación transaminasas","Hipersensibilidad, embarazo, I.H. moderada/grave, fibrosis pulmonar idiopática"
Amcinonida,Corticosteroide Tópico,Crema/ungüento/loción 0.1%,2-3 veces al día,0.10%,Tópico,Dermatosis inflamatorias corticosensibles,"Ardor, picazón, irritación, sequedad, foliculitis, hipertricosis, atrofia cutánea","Hipersensibilidad, infecciones cutáneas primarias"
Amfotericina B Liposomal,Antifúngico,3-5 mg/kg,Una vez al día,5 mg/kg/día,IV,Infecciones fúngicas sistémicas graves; Leishmaniasis visceral; Tto empírico neutropenia febril,"Reacciones a la infusión, nefrotoxicidad, hipokalemia, hipomagnesemia, fiebre, escalofríos, náuseas, cefalea, anemia",Hipersensibilidad
Amifampridina,Bloqueador Canales Potasio,Inicial: 5-10 mg TID; Titular hasta máx 80 mg/día,3-4 veces al día,80 mg/día,Oral,Síndrome Miasténico Lambert-Eaton,"Parestesias, mareo, cefalea, náuseas, dolor abdominal superior, riesgo convulsiones","Hipersensibilidad, antecedentes convulsiones, QT largo congénito"
Amifostina,Agente Citoprotector,910 mg/m² (quimio) o 200 mg/m² (radioterapia),Infusión IV única antes de cada dosis quimio/radioterapia,910 mg/m²,IV,Reducción nefrotoxicidad cisplatino; Reducción xerostomía radioterapia cabeza/cuello,"Hipotensión, náuseas, vómitos, flushing, escalofríos, mareo, somnolencia, hipocalcemia","Hipersensibilidad a amifostina/aminotioles, hipotensión, deshidratación"
Amikacina Sulfato,Aminoglucósido,15 mg/kg/día,Dividido cada 8-12 horas o Dosis única diaria,15 mg/kg/día,"IV, IM",Infecciones bacterianas Gram-negativas graves,"Nefrotoxicidad, ototoxicidad, bloqueo neuromuscular","Hipersensibilidad a aminoglucósidos, miastenia gravis"
Amilo Nitrito,Vasodilatador,Inhalar contenido 1-2 ampollas 0.3 mL,Según necesidad para angina o intoxicación cianuro,Inhalación PRN,Inhalación,Angina pectoris; Antídoto intoxicación cianuro,"Cefalea, mareo, hipotensión postural, flushing, taquicardia, síncope, metahemoglobinemia","Hipersensibilidad, anemia severa, glaucoma, HTA intracraneal reciente, uso concomitante inhibidores PDE5"
Amilorida,"Diurético Ahorrador K+""",5-10 mg,Una o dos veces al día,20 mg/día,Oral,"Hipertensión, Edema asociado a IC/cirrosis/síndrome nefrótico","Hiperkalemia, náuseas, vómitos, diarrea, cefalea, mareo, calambres musculares","Hipersensibilidad, hiperkalemia preexistente >5.5 mEq/L, uso concomitante otros ahorradores K+/suplementos K+, anuria, I.R. significativa"
Amilorida/Hidroclorotiazida,Diurético Combinado,Amilorida 5 mg / HCTZ 50 mg,Una vez al día,Amilorida 10 mg / HCTZ 100 mg día,Oral,Hipertensión arterial; Edema IC/cirrosis,"Hiperkalemia, hipokalemia, deshidratación, mareo, cefalea","Hipersensibilidad a componentes/sulfonamidas, anuria, hiperkalemia, I.R. grave, uso concomitante ahorradores K+"
Aminofilina,Broncodilatador Xantina,Carga: 5-6 mg/kg IV; Mantenimiento: 0.4-0.9 mg/kg/h IV o 200-400 mg Oral 2 veces/día/TID,Cada 6-12 horas o Infusión continua,Dosis ajustada por niveles séricos,Oral IV Rectal,"Asma, Broncoespasmo agudo, EPOC","Náuseas, vómitos, cefalea, insomnio, nerviosismo, taquicardia, arritmias, convulsiones","Hipersensibilidad a xantinas, úlcera péptica activa, trastornos convulsivos no controlados"
Amiodarona,Antiarrítmico (Clase III),Carga Oral: 600-1200 mg/día dividido; Mant. Oral: 100-400 mg/día; Carga IV: 5 mg/kg en 20-120min,Carga Oral: 1-3 veces/día; Mant. Oral: 1 vez/día; IV: Infusión continua o bolos,"Dosis ajustada según respuesta y tolerancia, vigilar toxicidad","Oral, IV",Arritmias supraventriculares y ventriculares graves refractarias,"Toxicidad pulmonar (fibrosis), tiroidea (hiper/hipo), hepática, corneal (microdepósitos), cutánea (fotosensibilidad, coloración gris-azulada), neurológica, bradicardia, bloqueo AV, prolongación QT","Bradicardia sinusal severa, bloqueo AV 2º-3º grado (sin marcapasos), disfunción tiroidea conocida, hipersensibilidad al yodo/amiodarona, shock cardiogénico, hipotensión severa"
Amisulprida,Antipsicótico,Dosis: <300 mg/día - 400-800 mg/día,Una o dos veces al día,1200 mg/día,"Oral, IM",Esquizofrenia aguda y crónica,"Hiperprolactinemia, síntomas extrapiramidales, insomnio, ansiedad, agitación, somnolencia, hipotensión, prolongación QT, aumento peso","Hipersensibilidad, tumor prolactino-dependiente, feocromocitoma, uso concomitante levodopa/agonistas dopaminérgicos"
Amisulprida Inyectable,Antipsicótico,IM: 200-400 mg/día; Puede requerir hasta 800 mg/día,Una o dos veces al día,1200 mg/día,IM,Esquizofrenia aguda y crónica,"Hiperprolactinemia, síntomas extrapiramidales, insomnio, ansiedad, agitación, somnolencia, hipotensión, prolongación QT, aumento peso","Hipersensibilidad, tumor prolactino-dependiente, feocromocitoma, uso concomitante levodopa/agonistas dopaminérgicos"
Amitriptilina,Antidepresivo Tricíclico,"Depresión: Inicial 25-75 mg/día, Mant: 50-150 mg/día; Dolor/Migraña: Inicial 10-25 mg/día, Mant: 25-75 mg/día",Usualmente 1-2 veces/día o dosis única nocturna,Depresión Ambulatoria: 150-200 mg/día; Hospitalaria: hasta 300 mg/día; Dolor: 100 mg/día,Oral,"Depresión mayor, Dolor neuropático, Profilaxis migraña y cefalea tensional, Enuresis nocturna (niños >6 años)","Sedación, boca seca, estreñimiento, visión borrosa, retención urinaria, hipotensión ortostática, aumento de peso, cardiotoxicidad (sobredosis), prolongación QT","Hipersensibilidad, uso concomitante con IMAO (o en 14 días), infarto miocardio reciente, arritmias, glaucoma ángulo estrecho, manía"
Amitriptilina/Clordiazepóxido,Antidepresivo/Benzodiacepina,Amitriptilina 10-25 mg / Clordiazepóxido 5-10 mg,2-4 veces al día o dosis única HS,Amitriptilina 150 mg / Clordiazepóxido 40 mg día,Oral,Depresión con ansiedad,"Somnolencia, boca seca, mareo, visión borrosa, estreñimiento, dependencia","Hipersensibilidad, uso IMAO, IAM reciente, glaucoma"
