name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications,drug.pediatric,full_safety_text,cat_pregnancy,cat_lactation,cat_liver,cat_kidney
Acetaminofén / Hidrocodona,Analgésico narcótico potenciado,"Niños: 0.6 mg/kg/día

<50 kg: 0.2 mg/kg/dosis

>50 kg: 10 mg","c/6 - 8 h

(Frec dosis: c/3-4h)",No especificado,VO (Oral),Dolor moderado a severo,"Emb: B

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
Acetaminofén / Hioscina (Buscapina),Antipirético / Analgésico / Antiespasmódico,"Gotas: 4 gotas/kg/día

Tabletas: 1 - 2 tabs",c/8 h,No especificado,VO (Oral),Dolor abdominal / Cólicos / Fiebre,"Emb: B

Lact: Precaución (B)","Hígado: Prolongar Intervalo (I)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Precaución (B) | Hígado: Prolongar Intervalo (I)

Riñón: Seguro (A)",Aceptado (B),Precaución,,No requiere ajuste
Acetaminofén / Loratadina / Fenilefrina,Analgésico / Antihistamínico / Descong.,"<2 años: 3-4 gotas/kg/dosis

2-6 años: 2.5 ml

6-12 años: 5 ml

>12 años: 10 ml",c/12 h,No especificado,VO (Oral),Gripa / Alergias,"Emb: B / C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: B / C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Evitar (X)",Aceptado (B),Precaución,No requiere ajuste,Evitar su uso
Acetaminofén / Tramadol,Analgésico / Opioide,"Adultos: 1-2 tabs

>7 años: 0.1-0.2 ml/kg/dosis",c/6 - 8 h,No especificado,VO (Oral),Dolor moderado a severo,"Emb: B / D

Lact: Precaución (B)","Hígado: Reducir Dosis (↓)

Riñón: Prolongar Intervalo (I)",yes,"Emb: B / D

Lact: Precaución (B) | Hígado: Reducir Dosis (↓)

Riñón: Prolongar Intervalo (I)",Aceptado (B),Precaución,Disminuir la dosis,Intervalo entre dosis debe prolongarse
Acetato de Aluminio,Astringente tópico,Aplicación tópica,No especificado,No especificado,Tópico,Irritación piel / Dermatitis,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Acetazolamida,Diurético (Inh. anhidrasa carbónica),"Diurético: 5 mg/kg/día

Hidrocefalia: 20-50 mg/kg/día

Epilepsia: 4-16 mg/kg/día","c/6 - 8 h

(Epilepsia: c/6 - 24h)",Max: 1 g/día,VO (Oral),Glaucoma / Epilepsia / Edema,"Emb: C

Lact: Seguro (A)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Evitar (X)

Riñón: Evitar (X)",Restringido (C),Seguro (Compatible),Evitar su uso,Evitar su uso
Acetilcisteína,Mucolítico y expectorante,"2-7 años: 300 mg/día (dividido)

>7 años: 600 mg/día

Dosis específica: 10-20 mg/kg",c/8 h,No especificado,VO / Nebulizado / IV,Secreciones respiratorias / Intox. Acetaminofén,"Emb: B

Lact: Seguro (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Precaución,No requiere ajuste,No requiere ajuste
"Acetilcolina, cloruro","Miótico, agente colinérgico",Aplicación intraocular,No especificado,No especificado,Intraocular,Cirugía intraocular (Miosis),"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Aciclovir,Antiviral (Herpes),"Varicela: 20 mg/kg/dosis

Herpes Simple: 40-80 mg/kg/día

Encefalitis: 30-60 mg/kg/día","c/6 h (Varicela)

c/6-8h (HS)

c/8h (Encefalitis)",800 mg/dosis (Varicela),VO / IV / Tópico,Herpes Simple / Zóster / Varicela,"Emb: B

Lact: Seguro (C en libro)","Hígado: Seguro (A)

Riñón: Reducir (↓) o Prolongar (I)",yes,"Emb: B

Lact: Seguro (C en libro) | Hígado: Seguro (A)

Riñón: Reducir (↓) o Prolongar (I)",Aceptado (B),Seguro (Compatible),No requiere ajuste,Intervalo entre dosis debe prolongarse
Ácido acetilsalicílico (Aspirina),Analgésico / Antipirético / Antiinflamatorio,"Analgésico/Antipirético:10-20 mg/kg/dosis

Antiinflamatorio: 75-90 mg/kg/día

Kawasaki: 75-100 mg/kg/día",c/6 h,No especificado,VO (Oral),Dolor / Fiebre / Kawasaki / Reumatoide,"Emb: D (Contraindicado)

Lact: Precaución (C)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: D (Contraindicado)

Lact: Precaución (C) | Hígado: Evitar (X)

Riñón: Evitar (X)",Riesgo (D),Contraindicado,Evitar su uso,Evitar su uso
Ácido acetilsalicílico / Cafeína,Analgésico potenciado (Migraña),Adultos: 1 tableta,c/4 - 6 h,No especificado,VO (Oral),Migraña / Dolor de cabeza,"Emb: C / D

Lact: Precaución (C)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: C / D

Lact: Precaución (C) | Hígado: Evitar (X)

Riñón: Evitar (X)",Restringido (C),Contraindicado,Evitar su uso,Evitar su uso
Ácido azelaico,Antipigmentador,Aplicar tópicamente,1 o 2 veces al día,No especificado,Tópico,Acné vulgar / Melasma,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido carglúmico,Hiperamonemia,"Inicial: 100-250 mg/kg

Mantenimiento: 10-100 mg/kg",No especificado,No especificado,VO (Oral),Deficiencia de N-acetilglutamato sintasa,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido clavulánico / Amoxicilina,Antibiótico (Penicilina + Inh. Betalactamasa),"ITRS-ITU: 20-50 mg/kg/día

Sinusitis/OMA: 40 mg/kg/día

OMA severa: 90 mg/kg/día",c/8 - 12 h,No especificado,VO (Oral),Infecciones bacterianas (Resp/Urinarias),"Emb: B

Lact: Seguro (A)","Hígado: Reducir Dosis (↓)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Reducir Dosis (↓)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),Disminuir la dosis,No requiere ajuste
,,,,,,,,,yes, | ,,,,
,,,,,,,,,yes, | ,,,,
Ácido cólico,Ácido biliar,5 - 15 mg/kg/día,1 vez al día,500 mg/día,VO (Oral),Errores congénitos de síntesis de ácidos biliares,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido dimercaptosuccínico,Quelante,Ver entrada de DMSA (Succimer),-,-,-,Intoxicación por metales pesados,-,-,yes,- | -,,,,
Ácido épsilon aminocaproico,Hemostático / Antifibrinolítico,"Inicial: 100-200 mg/kg

Mantenimiento:100 mg/kg/dosis (o 33 mg/kg/h)",c/6 h,30 g/m²/día (hasta parar sangrado),VO / IV,Hemorragias / Inhibidor de fibrinólisis,"Emb: C

Lact: Precaución (B)","Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",Restringido (C),Precaución,Disminuir la dosis,
Ácido etacrínico,Diurético de asa,1 mg/kg/dosis,c/12 - 24 h,3 mg/kg/día,VO / IV,Edema / Insuficiencia cardíaca,Emb: B / D,"Hígado: Precaución (C)

Riñón: Precaución (C)",yes,"Emb: B / D | Hígado: Precaución (C)

Riñón: Precaución (C)",Aceptado (B),,,
Ácido fólico (Vitamina B9),Vitamina hidrosoluble,"Prematuros: 0.25-0.50 mg/día

<4 años: 0.3 mg/día

>4 años: 0.4 mg/día",1 vez al día,No especificado,VO / IM / IV,Anemia megaloblástica / Suplemento,"Emb: A / C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A / C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido fólico (Leucovorín),Antídoto / Vitamina,"Toxicidad MTX: 2-15 mg/día

Rescate: 10-15 mg/m²",c/3 días (varía) / c/6 h,No especificado,VO / IV / IM,Antídoto metotrexato / Anemia megaloblástica,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido fusídico (Fusidato sódico),Antibiótico antiestafilocócico,"0-1 año: 50 mg/kg/día

1-5 años: 250 mg/dosis

5-12 años: 500 mg/dosis",c/8 h,No especificado,VO (Oral),Infecciones por estafilococos,"Emb: C

Lact: Seguro (A)","Hígado: Evitar o Precaución (¿?)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Evitar o Precaución (¿?)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),,No requiere ajuste
Ácido fusídico / Betametasona,Antibiótico / Corticoide tópico,Aplicar en zona afectada,2 a 3 veces al día,No especificado,Tópico,Dermatitis infectada / Eczema,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido fusídico / Hidrocortisona,Antibiótico / Corticoide tópico,Aplicar en zona afectada,2 a 3 veces al día,No especificado,Tópico,Dermatitis infectada,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido fusídico / Dexametasona / Ketoconazol,Antibiótico / Corticoide / Antimicótico,Aplicar en zona afectada,2 a 3 veces al día,No especificado,Tópico,Infecciones mixtas piel,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Ácido glicólico,Queratolítico,Aplicar tópicamente,1 o 2 veces al día,No especificado,Tópico,Manchas / Acné / Exfoliación,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido mefenámico,AINE / Analgésico,">14 años: 500 mg inicial, luego 250 mg",c/6 h,No usar > 7 días,VO (Oral),Dolor / Dismenorrea,"Emb: C / D

Lact: Precaución (B)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: C / D

Lact: Precaución (B) | Hígado: Evitar (X)

Riñón: Evitar (X)",Restringido (C),Precaución,Evitar su uso,Evitar su uso
Ácido nalidíxico,Quinolona (Antiséptico urinario),55 mg/kg/día,c/6 - 8 h,4 g/día,VO (Oral),Infecciones Urinarias (ITU),"Emb: B

Lact: Precaución (C)","Hígado: Reducir Dosis (↓)

Riñón: Evitar (X)",yes,"Emb: B

Lact: Precaución (C) | Hígado: Reducir Dosis (↓)

Riñón: Evitar (X)",Aceptado (B),Contraindicado,Disminuir la dosis,Evitar su uso
Ácido nicotínico,Vitamina,Ver entrada de Niacina o Vitamina B3,-,-,-,-,-,-,yes,- | -,,,,
Ácido oxolínico,Antiséptico urinario,>1 año: 10 mg/kg/día,c/12 h (con comidas),No especificado,VO (Oral),Infecciones Urinarias,"Emb: C

Lact: Precaución (B)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Evitar (X)

Riñón: Evitar (X)",Restringido (C),Precaución,Evitar su uso,Evitar su uso
Ácido paraaminobenzoico (PABA),Protector solar / Antisol,Aplicar 30 min antes de exposición,Repetir según necesidad,No especificado,Tópico,Protección solar,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido paraaminosalicílico (PAS),Antituberculoso,200 mg/kg/día,c/4 - 6 h,12 g/día,VO (Oral),Tuberculosis,"Emb: C

Lact: Seguro (A)","Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Reducir Dosis (↓)

Riñón: Reducir Dosis (↓)",Restringido (C),Seguro (Compatible),Disminuir la dosis,
Ácido pipemídico,Quinolona (Antiséptico urinario),>12 años: 400 mg (1 tab),c/12 h,No especificado,VO (Oral),"ITU (Cistitis, etc)","Emb: C

Lact: Precaución (B)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Evitar (X)

Riñón: Evitar (X)",Restringido (C),Precaución,Evitar su uso,Evitar su uso
Ácido poliacrílico,Lágrima artificial,1 gota en cada saco conjuntival,3 - 4 horas (o según necesidad),No especificado,Oftálmica,Ojo seco,"Emb: A

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: A

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Seguro (A),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido retinoico (Isotretinoína),Retinoide (Vit A),"Acné: Aplicar 1 vez noche

Leucemia: 120-140 mg/m²/día",1 vez al día / c/12h,No especificado,Tópico / VO,Acné severo / Leucemia promielocítica,"Emb: X (Teratogénico)

Lact: Contraindicado (X)","Hígado: Evitar (X)

Riñón: Seguro (A)",yes,"Emb: X (Teratogénico)

Lact: Contraindicado (X) | Hígado: Evitar (X)

Riñón: Seguro (A)",Contraindicado (X),,Evitar su uso,No requiere ajuste
Ácido salicílico,Queratolítico / Exfoliante,3 - 6%: Aplicar,1 vez en las noches,No especificado,Tópico,Psoriasis / Dermatitis seborreica,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Ácido salicílico / Ácido tricloroacético,Cauterizante / Bacteriostático,Aplicar en área afectada,2 a 3 veces al día,No especificado,Tópico,Verrugas / Callos,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido salicílico / Betametasona,Queratolítico / Corticoide,Aplicar en área afectada,2 veces al día,No especificado,Tópico,Psoriasis / Eczema,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Ácido salicílico / Cloruro de benzalconio,Antiseborreico,Aplicar en cabello húmedo,"Dejar 2-5 min, enjuagar",No especificado,Champú,Caspa / Seborrea,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido salicílico / Ruibarbo,Cicatrizante / Antiinflamatorio,Aplicar en área afectada,4 a 6 veces al día,No especificado,Tópico (Mucosa),Aftas / Lesiones mucosa oral,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido tolfenámico,AINE / Antiinflamatorio,1 - 6 mg/kg/día,c/8 h,No especificado,VO (Oral),Inflamación / Dolor,"Emb: C

Lact: Precaución (B)","Hígado: Evitar (X)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Evitar (X)

Riñón: Evitar (X)",Restringido (C),Precaución,Evitar su uso,Evitar su uso
Ácido tranexámico,Hemostático / Antifibrinolítico,"IV: 10 mg/kg (luego c/6-8h)

VO: 25 mg/kg/dosis",c/6 - 8 h,No especificado,IV / VO,Hemorragias / Cirugías,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Reducir Dosis (↓)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Reducir Dosis (↓)",Aceptado (B),Seguro (Compatible),No requiere ajuste,
Ácido ursodesoxicólico,Disolutor cálculos biliares,"Prevención: 4-5 mg/kg/día

Colestasis: 30 mg/kg/día

Atresia: 10-15 mg/kg/día",c/12 h (o dosis única),No especificado,VO (Oral),Colestasis / Cálculos biliares,"Emb: B

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: B

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Aceptado (B),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Ácido valproico (Valproato),Anticonvulsivante,10 - 15 mg/kg/día(Aumentar 5-10 mg/kg),c/8 - 24 h,Nivel terapéutico: 50-100 µg/mL,VO / IV,Epilepsia / Convulsiones,"Emb: D (Teratogénico)

Lact: Seguro (A)","Hígado: Evitar (X)

Riñón: Seguro (A)",yes,"Emb: D (Teratogénico)

Lact: Seguro (A) | Hígado: Evitar (X)

Riñón: Seguro (A)",Riesgo (D),Seguro (Compatible),Evitar su uso,No requiere ajuste
ACTH (Corticotropina),Hormona adrenocorticotropa,Espasmos infantiles: 24 - 40 U (o 1.6 U/kg/día),c/12 h,No especificado,IM / IV,Espasmos infantiles / Insuf. suprarrenal,"Emb: C

Lact: Precaución (A)","Hígado: Seguro (A)

Riñón: Evitar (X)",yes,"Emb: C

Lact: Precaución (A) | Hígado: Seguro (A)

Riñón: Evitar (X)",Restringido (C),Seguro (Compatible),No requiere ajuste,Evitar su uso
Adapaleno,Anti-acné (Retinoide),Aplicar una vez al día,Por la noche,No especificado,Tópico,Acné vulgar,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
Adenosina,Antiarrítmico,"<50 kg: 0.05 - 0.1 mg/kg (rápido)

>50 kg: 6 mg IV rápido",Dosis única (repetir si no hay respuesta),"<50kg: 0.3 mg/kg

>50kg: 12 mg",IV (Bolo rápido),Taquicardia supraventricular,"Emb: C

Lact: Precaución (B)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Precaución (B) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Precaución,No requiere ajuste,No requiere ajuste
Adrenalina (Epinefrina),Simpaticomimético,"RCP: 0.01 mg/kg (1:10.000)

Anafilaxia: 0.01 mg/kg (1:1.000)

Crup: 2.5 - 5 ml (1:1.000)",Según necesidad / Repetir cada 15-20 min (Crup),Max anafilaxia:0.3 - 0.5 mg,IV / IM / Nebulizado,Paro cardíaco / Anafilaxia / Crup,"Emb: C

Lact: Seguro (A)","Hígado: Seguro (A)

Riñón: Seguro (A)",yes,"Emb: C

Lact: Seguro (A) | Hígado: Seguro (A)

Riñón: Seguro (A)",Restringido (C),Seguro (Compatible),No requiere ajuste,No requiere ajuste
